"NOMPROV","PROV","NOMDEPTO","DEPTO","FRAC","RADIO","TIPO","LINK","OBS2020","link_chr","codigo","indice_envejecimiento","pct_pob_65_mas","pct_pob_80_mas","tasa_actividad","tasa_empleo","pct_sin_agua_red","pct_desague_sin_red"
"NEUQUEN","58","Confluencia","035","15","11","U","580351511",NA,"580351511",580351511,72.9,14.53,2.79,65.52,61.74,0.2,4.4
"NEUQUEN","58","Confluencia","035","15","12","U","580351512",NA,"580351512",580351512,59.85,10.5,1.79,62.6,58.78,1.4,1
"NEUQUEN","58","Confluencia","035","15","15","U","580351515",NA,"580351515",580351515,115.2,17.82,1.98,61.37,58.66,2.2,3.2
"NEUQUEN","58","Confluencia","035","11","09","U","580351109",NA,"580351109",580351109,17.05,4.25,0.97,75.13,71.86,1,36.9
"NEUQUEN","58","Confluencia","035","11","08","U","580351108",NA,"580351108",580351108,9.79,2.95,0.64,75.04,70.97,0.8,40.8
"NEUQUEN","58","Confluencia","035","11","10","U","580351110",NA,"580351110",580351110,37.25,6.33,1.11,66.32,60.7,1,5.5
"NEUQUEN","58","Confluencia","035","11","12","U","580351112",NA,"580351112",580351112,10.59,3.01,0.48,68.07,66.13,7.8,5.7
"NEUQUEN","58","Confluencia","035","11","11","U","580351111",NA,"580351111",580351111,16.07,3.85,0.53,70.66,66.67,0.6,3.2
"NEUQUEN","58","Confluencia","035","11","13","U","580351113",NA,"580351113",580351113,4.67,1.74,0.23,80.69,78.52,2.7,2.7
"NEUQUEN","58","Confluencia","035","20","07","M","580352007",NA,"580352007",580352007,68.25,14.22,2.17,61.49,57.09,67.7,94.3
"NEUQUEN","58","Confluencia","035","20","10","U","580352010",NA,"580352010",580352010,53.53,11.39,2.45,64.75,59.5,3.7,57.3
"NEUQUEN","58","Confluencia","035","20","08","U","580352008",NA,"580352008",580352008,54.61,11.83,2.3,67.12,61.54,2.1,47.9
"NEUQUEN","58","Confluencia","035","20","09","U","580352009",NA,"580352009",580352009,78.66,15.11,2.93,59.71,54.86,2.3,30.6
"NEUQUEN","58","Confluencia","035","20","11","U","580352011",NA,"580352011",580352011,93.9,16.44,1.6,62.42,57.45,3.7,5
"NEUQUEN","58","Confluencia","035","20","16","U","580352016",NA,"580352016",580352016,41.92,9.72,2.22,61.25,56.04,0.7,65.2
"NEUQUEN","58","Confluencia","035","20","12","U","580352012",NA,"580352012",580352012,56.3,10.19,1.48,64.34,58.31,3.3,47.2
"NEUQUEN","58","Confluencia","035","20","17","U","580352017",NA,"580352017",580352017,5.56,1.8,0.22,72.71,67.9,1.4,71.7
"NEUQUEN","58","Confluencia","035","20","15","U","580352015",NA,"580352015",580352015,10.18,3.45,0.37,68.64,63.98,0.8,58.8
"NEUQUEN","58","Confluencia","035","20","13","U","580352013",NA,"580352013",580352013,7.98,2.7,0.99,74.33,67.49,28.1,90.1
"NEUQUEN","58","Confluencia","035","20","14","U","580352014",NA,"580352014",580352014,9.71,2.85,0.57,70.25,62.78,0.7,65.2
"NEUQUEN","58","Confluencia","035","20","05","U","580352005",NA,"580352005",580352005,200,19.05,3.17,55.17,55.17,4.2,91.7
"NEUQUEN","58","Confluencia","035","20","01","M","580352001",NA,"580352001",580352001,0,0,0,73.68,73.68,10,50
"NEUQUEN","58","Confluencia","035","20","18","U","580352018",NA,"580352018",580352018,25.76,6.91,0.95,75.68,72.07,1.6,28.2
"NEUQUEN","58","Confluencia","035","20","02","U","580352002",NA,"580352002",580352002,96.77,15.46,1.55,67.75,65.11,0.8,4.1
"NEUQUEN","58","Confluencia","035","20","03","U","580352003",NA,"580352003",580352003,83.72,16.51,0.46,63.84,63.28,2.2,91.2
"NEUQUEN","58","Confluencia","035","02","09","U","580350209",NA,"580350209",580350209,24.09,6.24,0.95,67.84,64.57,1.2,94
"NEUQUEN","58","Confluencia","035","14","01","M","580351401",NA,"580351401",580351401,9.66,3.12,0.37,73.44,67.71,4.3,67.8
