"EDICION","VERSION","TIPO_GEO","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","CVE_MZA","TIPOMZA","AMBITO","cve_ent","cve_mun","cve_loc","cve_ageb","cve_mza","ambito","tipomza","nom_loc","pobtot","tvivparhab","vph_s_elec","vph_aguafv","vph_ndeaed","pct_sin_elec","pct_sin_agua","pct_sin_servs","pob65","pob02","pobtot_imp","pobtot_imputado","pob65_imp","pob65_imputado","vph_s_elec_imp","vph_s_elec_imputado","vph_aguafv_imp","vph_aguafv_imputado"
"2025","1","m","3105000015600001","31","050","0001","5600","001","Típica","Urbana","31","050","0001","5600","001","Urbana","T","Mérida",42,13,0,0,0,0,0,0,NA,NA,42,FALSE,10,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000011665019","31","050","0001","1665","019","Típica","Urbana","31","050","0001","1665","019","Urbana","T","Mérida",38,10,0,0,0,0,0,0,0,3,38,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000011241019","31","050","0001","1241","019","Típica","Urbana","31","050","0001","1241","019","Urbana","T","Mérida",143,42,0,0,0,0,0,0,28,3,143,FALSE,28,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000012945027","31","050","0001","2945","027","Típica","Urbana","31","050","0001","2945","027","Urbana","T","Mérida",45,15,0,0,0,0,0,0,9,NA,45,FALSE,9,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014617004","31","050","0001","4617","004","Típica","Urbana","31","050","0001","4617","004","Urbana","T","Mérida",67,21,0,0,0,0,0,0,18,0,67,FALSE,18,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000011665053","31","050","0001","1665","053","Típica","Urbana","31","050","0001","1665","053","Urbana","T","Mérida",31,8,0,0,0,0,0,0,3,0,31,FALSE,3,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010262008","31","050","0001","0262","008","Típica","Urbana","31","050","0001","0262","008","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,TRUE,12,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000013939029","31","050","0001","3939","029","Típica","Urbana","31","050","0001","3939","029","Urbana","T","Mérida",18,4,0,0,0,0,0,0,0,NA,18,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015032022","31","050","0001","5032","022","Típica","Urbana","31","050","0001","5032","022","Urbana","T","Mérida",109,32,0,0,0,0,0,0,9,4,109,FALSE,9,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015598006","31","050","0001","5598","006","Típica","Urbana","31","050","0001","5598","006","Urbana","T","Mérida",32,8,0,0,0,0,0,0,NA,NA,32,FALSE,43,TRUE,0,FALSE,0,FALSE
"2025","1","m","310500001288A002","31","050","0001","288A","002","Típica","Urbana","31","050","0001","288A","002","Urbana","T","Mérida",85,25,0,0,0,0,0,0,10,NA,85,FALSE,10,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000844373006","31","050","0084","4373","006","Típica","Urbana","31","050","0084","4373","006","Urbana","T","Cholul",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014585004","31","050","0001","4585","004","Típica","Urbana","31","050","0001","4585","004","Urbana","T","Mérida",25,10,0,0,0,0,0,0,8,0,25,FALSE,8,FALSE,0,FALSE,0,FALSE
